1	 0xa927e1e1e044ca1d9fe1854585003477331fe2af	5,872,783.994694337157985967	20.7697%
$2,147,688.85	
242	0x1df90c623e76dc3bc165e8197d6cd330e7b75fce	885	0.0031%
$323.65	
243	0x9a71508961259596860e04177cd61fc46139f1e7	884.273416998865288651	0.0031%
$323.38	
244	 0xf83c245c46ff5d68420a8427931dcd54e33fec44	878.718219814993905211	0.0031%
$321.35	
245	0x3bc6c50b8d38c850778300a84513ddeee9179088	878.492841300121278674	0.0031%
$321.27	
246	0x611379befcc7021f01e2e38265ec204616526c6e	875	0.0031%
$319.99	
247	0x8d3266c47caaaaaec83a081febf8a36299c2a4bb	874.72578730304393085	0.0031%
$319.89	
248	0x09534cf342ad376ddba6c3e94490c3f161f42ed2	866.38615326402478925	0.0031%
$316.84	
249	0x9d11727df06bfe53c424443b6f5bf1c7ebce4a93	865.577317397903472013	0.0031%
$316.54	
250	0x2c187838dc73975b65b2bfa3c31091284456d023	863.58970174299865338	0.0031%
$315.82
